9.77234	4.65625	40.4825	4.97467	0.0259399	0.00457764	0.00335693	9.77234	4.65625	40.4825	0.708443	11.2983	-1.52593	0.00457764	0.00335693	1.52593	
9.8592	-0.125	40.6632	4.97162	0.0234985	0.00183105	-0.0262451	9.77235	4.65551	40.4825	0.708444	11.2983	-1.52591	0.00320435	-0.0114441	1.52591	
9.68547	0.5625	41.0034	4.9707	0.0234985	0.00457764	-0.015564	9.77238	4.65267	40.4827	0.708447	11.2982	-1.52586	0.00366211	-0.0128174	1.52586	
11.3793	0	39.8446	4.96704	0.0241089	0.00366211	0.0134277	9.77264	4.64721	40.4829	0.708451	11.2982	-1.52555	0.00366211	-0.0062561	1.52555	
8.72996	-0.53125	40.3443	4.97101	0.0247192	0.00335693	-0.015564	9.77322	4.63905	40.483	0.708453	11.2982	-1.52496	0.00360107	-0.00811768	1.52496	
8.77339	-1.1875	40.1529	4.98077	0.0265503	-0.00152588	0.0109863	9.77354	4.62795	40.4829	0.708451	11.2982	-1.52465	0.00274658	-0.00493368	1.52465	
7.64414	-0.65625	40.2805	4.97559	0.0234985	0.00274658	0.0216675	9.77305	4.61382	40.4827	0.708447	11.2982	-1.52518	0.00274658	-0.00113351	1.52518	
9.12085	-1.78125	40.4081	4.97314	0.0228882	0.00213623	0.0595093	9.77167	4.59665	40.4823	0.708441	11.2983	-1.52663	0.00267029	0.00644684	1.52663	
9.16428	3.90625	40.4187	4.97437	0.0256348	0.00274658	-0.0119019	9.7697	4.57717	40.4819	0.708433	11.2984	-1.52867	0.00267877	0.00440809	1.52867	
9.55518	-0.46875	40.4081	4.97528	0.0259399	0.00396729	0.00610352	9.76748	4.55641	40.4815	0.708425	11.2984	-1.53096	0.00280762	0.00457764	1.53096	
8.94712	-0.5625	40.7695	4.9762	0.0234985	0.00213623	-0.0143433	9.76505	4.53391	40.481	0.708418	11.2985	-1.53346	0.00274658	0.00285756	1.53346	
9.03398	-0.8125	40.5888	4.97589	0.0286865	0.00488281	0.050354	9.76231	4.50901	40.4807	0.708413	11.2986	-1.53626	0.0029246	0.00681559	1.53626	
8.33906	-1.53125	40.2805	4.97864	0.0271606	0.00549316	-0.0259399	9.75909	4.4816	40.4805	0.708408	11.2986	-1.53952	0.00312218	0.00429594	1.53952	
9.38145	-1.78125	40.3124	4.98077	0.0222778	0.00274658	-0.0134277	9.75537	4.4515	40.4802	0.708403	11.2987	-1.54329	0.00309535	0.00302996	1.54329	
